period,stateid,value,type
2001-01-01,AK,521.03566,Historical
2001-02-01,AK,486.09655,Historical
2001-03-01,AK,443.79575,Historical
2001-04-01,AK,442.19678,Historical
2001-05-01,AK,415.90066,Historical
2001-06-01,AK,414.23448,Historical
2001-07-01,AK,421.09334,Historical
2001-08-01,AK,422.70564,Historical
2001-09-01,AK,429.95111,Historical
2001-10-01,AK,437.61982,Historical
2001-11-01,AK,486.52873,Historical
2001-12-01,AK,532.92149,Historical
2002-01-01,AK,523.63796,Historical
2002-02-01,AK,495.40221,Historical
2002-03-01,AK,462.81658,Historical
2002-04-01,AK,450.73397,Historical
2002-05-01,AK,427.6181,Historical
2002-06-01,AK,414.67765,Historical
2002-07-01,AK,414.80118,Historical
2002-08-01,AK,434.10333,Historical
2002-09-01,AK,434.92343,Historical
2002-10-01,AK,445.86462,Historical
2002-11-01,AK,468.72441,Historical
2002-12-01,AK,492.18555,Historical
2003-01-01,AK,540.8805,Historical
2003-02-01,AK,475.38923,Historical
2003-03-01,AK,460.58553,Historical
2003-04-01,AK,445.36884,Historical
2003-05-01,AK,438.17776,Historical
2003-06-01,AK,418.3761,Historical
2003-07-01,AK,432.2715,Historical
2003-08-01,AK,442.98581,Historical
2003-09-01,AK,440.16756,Historical
2003-10-01,AK,452.74218,Historical
2003-11-01,AK,491.24501,Historical
2003-12-01,AK,525.49198,Historical
2004-01-01,AK,574.05769,Historical
2004-02-01,AK,508.18698,Historical
2004-03-01,AK,476.43956,Historical
2004-04-01,AK,483.37079,Historical
2004-05-01,AK,443.65906,Historical
2004-06-01,AK,426.6197,Historical
2004-07-01,AK,449.44645,Historical
2004-08-01,AK,456.30661,Historical
2004-09-01,AK,459.98377,Historical
2004-10-01,AK,472.60034,Historical
2004-11-01,AK,495.05528,Historical
2004-12-01,AK,542.75777,Historical
2005-01-01,AK,567.83673,Historical
2005-02-01,AK,520.65853,Historical
2005-03-01,AK,490.42653,Historical
2005-04-01,AK,469.23825,Historical
2005-05-01,AK,438.65294,Historical
2005-06-01,AK,437.96312,Historical
2005-07-01,AK,461.70201,Historical
2005-08-01,AK,455.34704,Historical
2005-09-01,AK,480.84249,Historical
2005-10-01,AK,493.75807,Historical
2005-11-01,AK,531.22302,Historical
2005-12-01,AK,564.92227,Historical
2006-01-01,AK,587.364,Historical
2006-02-01,AK,554.84579,Historical
2006-03-01,AK,522.26355,Historical
2006-04-01,AK,514.34858,Historical
2006-05-01,AK,458.16646,Historical
2006-06-01,AK,470.90915,Historical
2006-07-01,AK,472.69605,Historical
2006-08-01,AK,483.53149,Historical
2006-09-01,AK,489.09607,Historical
2006-10-01,AK,493.81628,Historical
2006-11-01,AK,547.96779,Historical
2006-12-01,AK,587.28579,Historical
2007-01-01,AK,609.0451,Historical
2007-02-01,AK,554.38369,Historical
2007-03-01,AK,555.84085,Historical
2007-04-01,AK,526.08323,Historical
2007-05-01,AK,482.26751,Historical
