period,stateid,value,type
2025-09-01,WY,1270.6182,Forecasted
2025-10-01,WY,1240.5419,Forecasted
2025-11-01,WY,1240.459,Forecasted
2025-12-01,WY,1305.5338,Forecasted
2026-01-01,WY,1358.9479,Forecasted
2026-02-01,WY,1280.4589,Forecasted
2026-03-01,WY,1280.4589,Forecasted
2026-04-01,WY,1224.1279,Forecasted
2026-05-01,WY,1223.3048,Forecasted
2026-06-01,WY,1293.4216,Forecasted
2026-07-01,WY,1354.6808,Forecasted
2026-08-01,WY,1354.6808,Forecasted
2026-09-01,WY,1270.6182,Forecasted
2026-10-01,WY,1240.5419,Forecasted
2026-11-01,WY,1240.459,Forecasted
2026-12-01,WY,1305.5338,Forecasted
2027-01-01,WY,1358.9479,Forecasted
2027-02-01,WY,1280.4589,Forecasted
2027-03-01,WY,1280.4589,Forecasted
2027-04-01,WY,1224.1279,Forecasted
2027-05-01,WY,1223.3048,Forecasted
2027-06-01,WY,1293.4216,Forecasted
2027-07-01,WY,1354.6808,Forecasted
2027-08-01,WY,1354.6808,Forecasted
2027-09-01,WY,1270.6182,Forecasted
2027-10-01,WY,1240.5419,Forecasted
2027-11-01,WY,1240.459,Forecasted
2027-12-01,WY,1305.5338,Forecasted
2028-01-01,WY,1358.9479,Forecasted
2028-02-01,WY,1280.4589,Forecasted
2028-03-01,WY,1280.4589,Forecasted
2028-04-01,WY,1224.1279,Forecasted
2028-05-01,WY,1223.3048,Forecasted
2028-06-01,WY,1293.4216,Forecasted
2028-07-01,WY,1354.6808,Forecasted
2028-08-01,WY,1354.6808,Forecasted
2028-09-01,WY,1270.6182,Forecasted
2028-10-01,WY,1240.5419,Forecasted
2028-11-01,WY,1240.459,Forecasted
2028-12-01,WY,1305.5338,Forecasted
2029-01-01,WY,1358.9479,Forecasted
2029-02-01,WY,1280.4589,Forecasted
2029-03-01,WY,1280.4589,Forecasted
2029-04-01,WY,1224.1279,Forecasted
2029-05-01,WY,1223.3048,Forecasted
2029-06-01,WY,1293.4216,Forecasted
2029-07-01,WY,1354.6808,Forecasted
2029-08-01,WY,1354.6808,Forecasted
2029-09-01,WY,1270.6182,Forecasted
2029-10-01,WY,1240.5419,Forecasted
2029-11-01,WY,1240.459,Forecasted
2029-12-01,WY,1305.5338,Forecasted
2030-01-01,WY,1358.9479,Forecasted
2030-02-01,WY,1280.4589,Forecasted
2030-03-01,WY,1280.4589,Forecasted
2030-04-01,WY,1224.1279,Forecasted
2030-05-01,WY,1223.3048,Forecasted
2030-06-01,WY,1293.4216,Forecasted
2030-07-01,WY,1354.6808,Forecasted
2030-08-01,WY,1354.6808,Forecasted
2025-09-01,MI,9956.942,Forecasted
2025-10-01,MI,9899.178,Forecasted
2025-11-01,MI,9892.459,Forecasted
2025-12-01,MI,10013.69,Forecasted
2026-01-01,MI,10179.956,Forecasted
2026-02-01,MI,9881.866,Forecasted
2026-03-01,MI,9881.866,Forecasted
2026-04-01,MI,9812.47,Forecasted
2026-05-01,MI,9818.65,Forecasted
2026-06-01,MI,9901.08,Forecasted
2026-07-01,MI,10258.323,Forecasted
2026-08-01,MI,10258.323,Forecasted
2026-09-01,MI,9956.942,Forecasted
2026-10-01,MI,9899.178,Forecasted
2026-11-01,MI,9892.459,Forecasted
2026-12-01,MI,10013.69,Forecasted
2027-01-01,MI,10179.956,Forecasted
2027-02-01,MI,9881.866,Forecasted
2027-03-01,MI,9881.866,Forecasted
2027-04-01,MI,9812.47,Forecasted
2027-05-01,MI,9818.65,Forecasted
2027-06-01,MI,9901.08,Forecasted
2027-07-01,MI,10258.323,Forecasted
2027-08-01,MI,10258.323,Forecasted
2027-09-01,MI,9956.942,Forecasted
2027-10-01,MI,9899.178,Forecasted
2027-11-01,MI,9892.459,Forecasted
2027-12-01,MI,10013.69,Forecasted
2028-01-01,MI,10179.956,Forecasted
2028-02-01,MI,9881.866,Forecasted
2028-03-01,MI,9881.866,Forecasted
2028-04-01,MI,9812.47,Forecasted
2028-05-01,MI,9818.65,Forecasted
2028-06-01,MI,9901.08,Forecasted
2028-07-01,MI,10258.323,Forecasted
2028-08-01,MI,10258.323,Forecasted
2028-09-01,MI,9956.942,Forecasted
2028-10-01,MI,9899.178,Forecasted
2028-11-01,MI,9892.459,Forecasted
2028-12-01,MI,10013.69,Forecasted
2029-01-01,MI,10179.956,Forecasted
2029-02-01,MI,9881.866,Forecasted
2029-03-01,MI,9881.866,Forecasted
2029-04-01,MI,9812.47,Forecasted
2029-05-01,MI,9818.65,Forecasted
2029-06-01,MI,9901.08,Forecasted
2029-07-01,MI,10258.323,Forecasted
2029-08-01,MI,10258.323,Forecasted
2029-09-01,MI,9956.942,Forecasted
2029-10-01,MI,9899.178,Forecasted
2029-11-01,MI,9892.459,Forecasted
2029-12-01,MI,10013.69,Forecasted
2030-01-01,MI,10179.956,Forecasted
2030-02-01,MI,9881.866,Forecasted
2030-03-01,MI,9881.866,Forecasted
2030-04-01,MI,9812.47,Forecasted
2030-05-01,MI,9818.65,Forecasted
2030-06-01,MI,9901.08,Forecasted
2030-07-01,MI,10258.323,Forecasted
2030-08-01,MI,10258.323,Forecasted
